Id,B_Age,B_Height,B_Weight,B_Name,R_Age,R_Height,R_Weight,R_Name,winby,winner
411,30.0,175.0,77.0,Chris Heatherly,33.0,185.0,77.0,Augusto Montano,KO/TKO,red
412,28.0,172.0,61.0,Jose Quinonez,29.0,167.0,61.0,Alejandro Perez,DEC,red
413,38.0,167.0,61.0,Guido Cannetti,37.0,172.0,61.0,Henry Briones,SUB,red
414,25.0,172.0,61.0,Marlon Vera,32.0,172.0,56.0,Marco Beltran,DEC,red
415,33.0,177.0,65.0,Humberto Brown Morrison,30.0,172.0,65.0,Gabriel Benitez,SUB,red
416,25.0,172.0,61.0,Leonardo Morales,26.0,180.0,65.0,Yair Rodriguez,DEC,red
417,35.0,193.0,111.0,Brendan Schaub,36.0,200.0,115.0,Travis Browne,KO/TKO,red
418,36.0,175.0,70.0,Gilbert Melendez,31.0,177.0,70.0,Anthony Pettis,SUB,red
419,38.0,180.0,84.0,Justin Jones,29.0,190.0,93.0,Corey Anderson,DEC,red
420,36.0,180.0,77.0,Robbie Lawler,35.0,175.0,84.0,Johny Hendricks,DEC,blue
421,30.0,190.0,84.0,Josh Samman,35.0,182.0,84.0,Eddie Gordon,KO/TKO,blue
422,38.0,195.0,118.0,Anthony Hamilton,32.0,190.0,118.0,Todd Duffee,KO/TKO,red
423,31.0,172.0,56.0,Ashlee Evans-Smith,30.0,170.0,61.0,Raquel Pennington,SUB,red
424,31.0,177.0,61.0,Matt Hobar,25.0,167.0,56.0,Sergio Pettis,DEC,red
425,37.0,172.0,61.0,Francisco Rivera,39.0,167.0,61.0,Urijah Faber,SUB,red
426,25.0,180.0,65.0,Clay Collard,29.0,182.0,70.0,Alex White,DEC,blue
427,39.0,180.0,106.0,Daniel Cormier,31.0,193.0,93.0,Jon Jones,DEC,red
428,38.0,177.0,77.0,Joshua Burkman,40.0,175.0,84.0,Hector Lombard,DEC,no contest
429,38.0,170.0,70.0,Rodrigo Damm,36.0,177.0,70.0,Evan Dunham,DEC,red
430,39.0,182.0,84.0,Nate Marquardt,30.0,185.0,84.0,Brad Tavares,DEC,red
431,34.0,160.0,56.0,Louis Gaudinot,27.0,165.0,56.0,Kyoji Horiguchi,DEC,red
432,34.0,180.0,93.0,Jared Cannonier,33.0,182.0,118.0,Shawn Jordan,KO/TKO,red
433,34.0,185.0,77.0,Mats Nilsson,30.0,182.0,84.0,Omari Akhmedov,DEC,red
434,29.0,177.0,65.0,Myles Jury,35.0,185.0,77.0,Donald Cerrone,DEC,red
435,34.0,180.0,70.0,Paul Felder,39.0,175.0,70.0,Danny Castillo,KO/TKO,blue
436,27.0,172.0,61.0,Cody Garbrandt,33.0,162.0,61.0,Marcus Brimage,KO/TKO,blue
437,41.0,167.0,61.0,Marion Reneau,28.0,175.0,61.0,Alexis Dufresne,DEC,blue
438,27.0,162.0,52.0,Kailin Curran,24.0,162.0,56.0,Paige VanZant,KO/TKO,red
439,29.0,165.0,56.0,Dustin Ortiz,34.0,162.0,56.0,Joseph Benavidez,DEC,red
440,35.0,190.0,84.0,Roger Narvaez,30.0,198.0,84.0,Luke Barnatt,DEC,blue
441,,,,Aleksei Oleinik,32.0,187.0,120.0,Jared Rosholt,KO/TKO,blue
442,34.0,167.0,70.0,Nick Hein,31.0,190.0,70.0,James Vick,DEC,red
443,35.0,185.0,111.0,Josh Copeland,31.0,190.0,109.0,Ruslan Magomedov,DEC,red
444,35.0,177.0,70.0,Akbarh Arreola,42.0,175.0,70.0,Yves Edwards,SUB,blue
445,27.0,177.0,65.0,Dooho Choi,29.0,175.0,65.0,Juan Puig,KO/TKO,blue
446,33.0,167.0,56.0,Chico Camus,40.0,167.0,61.0,Brad Pickett,DEC,blue
447,34.0,172.0,65.0,Cub Swanson,36.0,167.0,65.0,Frankie Edgar,SUB,red
448,32.0,180.0,70.0,Edson Barboza,32.0,177.0,70.0,Bobby Green,DEC,blue
449,35.0,190.0,93.0,Ovince Saint Preux,36.0,185.0,93.0,Mauricio Rua,KO/TKO,blue
450,35.0,162.0,61.0,Tim Gorman,27.0,170.0,61.0,Thomas Almeida,DEC,red
