Id,B_Age,B_Height,B_Weight,B_Name,R_Age,R_Height,R_Weight,R_Name,winby,winner
616,35.0,172.0,70.0,Abel Trujillo,34.0,180.0,70.0,Tony Ferguson,SUB,red
617,40.0,172.0,70.0,Isaac Vallie-Flagg,35.0,177.0,70.0,Matt Wiman,DEC,red
618,37.0,177.0,70.0,Charlie Brenneman,32.0,175.0,70.0,Leandro Silva,SUB,red
619,40.0,190.0,120.0,Matt Mitrione,39.0,187.0,109.0,Gabriel Gonzaga,KO/TKO,blue
620,29.0,190.0,93.0,Jake Collier,39.0,185.0,84.0,Vitor Miranda,KO/TKO,red
621,31.0,177.0,77.0,Sean Spencer,31.0,185.0,77.0,Cathal Pendred,DEC,red
622,41.0,162.0,61.0,Norifumi Yamamoto,30.0,170.0,61.0,Roman Salazar,,no contest
623,28.0,177.0,70.0,Cody Pfister,30.0,177.0,77.0,James Moontasri,SUB,red
624,32.0,187.0,93.0,Sam Alvey,33.0,185.0,84.0,Cezar Ferreira,KO/TKO,blue
625,35.0,185.0,111.0,Josh Copeland,32.0,187.0,120.0,Jared Rosholt,KO/TKO,red
626,28.0,182.0,70.0,Tony Martin,38.0,182.0,70.0,Leonardo Santos,SUB,red
627,32.0,172.0,70.0,Cain Carrizosa,29.0,177.0,70.0,Leonardo Mafra,DEC,red
628,29.0,172.0,70.0,Drew Dober,32.0,175.0,70.0,Leandro Silva,SUB,no contest
629,35.0,177.0,70.0,Akbarh Arreola,40.0,175.0,70.0,Francisco Trinaldo,DEC,red
630,38.0,170.0,61.0,Shayna Baszler,30.0,172.0,61.0,Amanda Nunes,KO/TKO,red
631,28.0,180.0,65.0,Andre Fili,31.0,170.0,65.0,Godofredo Pepey,SUB,red
632,36.0,172.0,65.0,Katsunori Kikuno,33.0,182.0,65.0,Kevin Souza,KO/TKO,red
633,28.0,177.0,70.0,Christos Giagos,38.0,172.0,77.0,Jorge de Oliveira,SUB,blue
634,39.0,165.0,56.0,Fredy Serrano,35.0,162.0,56.0,Bentley Syler,KO/TKO,blue
635,44.0,187.0,99.0,Mirko Cro Cop,39.0,187.0,109.0,Gabriel Gonzaga,KO/TKO,blue
636,35.0,187.0,93.0,Jan Blachowicz,38.0,185.0,93.0,Jimi Manuwa,DEC,red
637,34.0,185.0,77.0,Sheldon Westcott,29.0,182.0,77.0,Pawel Pawlak,DEC,red
638,36.0,185.0,84.0,Garreth McLellan,32.0,182.0,84.0,Bartosz Fabinski,DEC,red
639,31.0,180.0,70.0,Mickael Lebout,36.0,182.0,77.0,Sergio Moraes,DEC,red
640,38.0,195.0,118.0,Anthony Hamilton,36.0,182.0,112.0,Daniel Omielanczuk,DEC,blue
641,27.0,182.0,77.0,Leon Edwards,36.0,190.0,77.0,Seth Baczynski,KO/TKO,blue
642,28.0,177.0,70.0,Stevie Ray,28.0,177.0,70.0,Marcin Bandel,KO/TKO,blue
643,27.0,170.0,52.0,Maryna Moroz,32.0,167.0,56.0,Joanne Calderwood,SUB,blue
644,31.0,175.0,65.0,Rocky Lee,26.0,167.0,61.0,Taylor Lapilus,DEC,red
645,37.0,175.0,65.0,Yaotzin Meza,28.0,165.0,61.0,Damian Stasiak,DEC,blue
646,39.0,167.0,61.0,Urijah Faber,36.0,167.0,65.0,Frankie Edgar,DEC,red
647,,,,Yao Zhikui,30.0,167.0,56.0,Nolan Ticman,DEC,blue
648,34.0,180.0,70.0,Kajan Johnson,28.0,180.0,70.0,Zhang Lipeng,DEC,blue
649,34.0,180.0,70.0,Jon Tuck,35.0,175.0,70.0,Tae Hyun Bang,SUB,blue
650,29.0,187.0,77.0,Dhiego Lima,30.0,182.0,77.0,Li Jingliang,KO/TKO,red
651,37.0,175.0,65.0,Yui Chul Nam,34.0,175.0,65.0,Phillipe Nover,DEC,red
652,29.0,172.0,65.0,Levan Makashvili,32.0,172.0,65.0,Mark Eddiva,DEC,blue
653,38.0,180.0,84.0,Costas Philippou,33.0,187.0,84.0,Gegard Mousasi,DEC,red
654,31.0,190.0,77.0,Neil Magny,33.0,190.0,77.0,Hyun Gyu Lim,KO/TKO,blue
655,30.0,198.0,84.0,Luke Barnatt,40.0,182.0,84.0,Mark Munoz,DEC,red
656,31.0,170.0,61.0,Royston Wee,36.0,162.0,61.0,Ning Guangyou,KO/TKO,red
657,31.0,167.0,56.0,Jon Delos Reyes,27.0,162.0,56.0,Roldan Sangcha-an,SUB,blue
658,40.0,190.0,120.0,Matt Mitrione,36.0,193.0,120.0,Ben Rothwell,SUB,red
659,48.0,180.0,84.0,Dan Henderson,37.0,182.0,84.0,Tim Boetsch,KO/TKO,blue
660,33.0,190.0,118.0,Derrick Lewis,33.0,182.0,118.0,Shawn Jordan,KO/TKO,red
661,29.0,190.0,93.0,Jake Collier,34.0,180.0,84.0,Ricardo Abreu,DEC,blue
662,32.0,172.0,61.0,Anthony Birchak,31.0,167.0,61.0,Joe Soto,KO/TKO,blue
663,30.0,182.0,84.0,Omari Akhmedov,37.0,182.0,77.0,Brian Ebersole,KO/TKO,blue
664,31.0,177.0,77.0,Yancy Medeiros,29.0,175.0,70.0,Dustin Poirier,KO/TKO,red
665,25.0,172.0,61.0,Leonardo Morales,28.0,172.0,61.0,Jose Quinonez,SUB,red
666,30.0,177.0,65.0,Alex Caceres,37.0,172.0,61.0,Francisco Rivera,KO/TKO,red
667,27.0,172.0,65.0,Brian Ortega,33.0,170.0,65.0,Thiago Tavares,KO/TKO,blue
668,28.0,177.0,70.0,Christos Giagos,31.0,177.0,70.0,Chris Wade,DEC,red
669,44.0,177.0,120.0,Mark Hunt,36.0,193.0,109.0,Stipe Miocic,KO/TKO,red
670,27.0,182.0,84.0,Robert Whittaker,30.0,185.0,84.0,Brad Tavares,KO/TKO,blue
671,35.0,185.0,93.0,Sean O'Connell,46.0,190.0,93.0,Anthony Perosh,KO/TKO,blue
672,31.0,190.0,70.0,James Vick,24.0,180.0,77.0,Jake Matthews,SUB,blue
673,35.0,162.0,52.0,Lisa Ellis,29.0,167.0,56.0,Bec Rawlings,SUB,red
674,29.0,185.0,77.0,Bradley Scott,38.0,185.0,84.0,Dylan Andrews,SUB,blue
675,27.0,162.0,52.0,Kailin Curran,39.0,160.0,52.0,Alex Chambers,SUB,red
676,31.0,175.0,77.0,Brendan O'Reilly,41.0,180.0,77.0,Vik Grujic,DEC,blue
677,28.0,182.0,70.0,Dan Hooker,35.0,180.0,65.0,Hatsu Hioki,KO/TKO,blue
678,29.0,177.0,77.0,Jonavin Webb,38.0,185.0,77.0,Kyle Noke,DEC,red
679,32.0,187.0,93.0,Sam Alvey,40.0,182.0,84.0,Daniel Kelly,KO/TKO,blue
680,39.0,180.0,106.0,Daniel Cormier,34.0,187.0,93.0,Anthony Johnson,SUB,blue
681,41.0,182.0,84.0,Vitor Belfort,34.0,187.0,84.0,Chris Weidman,KO/TKO,red
682,33.0,172.0,70.0,John Makdessi,35.0,185.0,77.0,Donald Cerrone,KO/TKO,red
683,39.0,190.0,109.0,Andrei Arlovski,36.0,200.0,115.0,Travis Browne,KO/TKO,blue
684,34.0,167.0,56.0,John Moraga,34.0,162.0,56.0,Joseph Benavidez,DEC,red
685,35.0,177.0,70.0,Leo Kuntz,26.0,177.0,70.0,Islam Makhachev,SUB,red
686,35.0,162.0,56.0,Zach Makovsky,34.0,160.0,61.0,John Dodson,DEC,red
687,34.0,162.0,56.0,Joshua Sampo,26.0,170.0,61.0,Justin Scoggins,DEC,red
688,30.0,180.0,77.0,Colby Covington,43.0,182.0,77.0,Mike Pyle,DEC,blue
689,38.0,177.0,77.0,Joshua Burkman,36.0,187.0,77.0,Dong Hyun Kim,SUB,red
690,35.0,182.0,84.0,Rafael Natal,34.0,182.0,84.0,Uriah Hall,DEC,blue
691,41.0,193.0,104.0,Fabricio Werdum,36.0,185.0,109.0,Cain Velasquez,SUB,blue
692,34.0,175.0,70.0,Eddie Alvarez,36.0,175.0,70.0,Gilbert Melendez,DEC,blue
693,33.0,160.0,52.0,Angela Hill,29.0,154.0,52.0,Tecia Torres,DEC,red
694,32.0,175.0,65.0,Charles Rosa,26.0,180.0,65.0,Yair Rodriguez,DEC,red
695,39.0,182.0,84.0,Nate Marquardt,26.0,175.0,84.0,Kelvin Gastelum,KO/TKO,red
696,37.0,172.0,61.0,Patrick Williams,29.0,167.0,61.0,Alejandro Perez,SUB,blue
697,29.0,172.0,70.0,Drew Dober,32.0,175.0,70.0,Efrain Escudero,SUB,red
698,29.0,177.0,70.0,Johnny Case,36.0,175.0,70.0,Francisco Trevino,DEC,blue
699,25.0,180.0,65.0,Clay Collard,30.0,172.0,65.0,Gabriel Benitez,DEC,red
700,33.0,167.0,56.0,Chico Camus,31.0,162.0,56.0,Henry Cejudo,DEC,red
701,30.0,175.0,70.0,Conor McGregor,33.0,167.0,65.0,Chad Mendes,KO/TKO,blue
702,29.0,182.0,77.0,Rory MacDonald,36.0,180.0,77.0,Robbie Lawler,KO/TKO,red
703,32.0,175.0,65.0,Jeremy Stephens,31.0,167.0,65.0,Dennis Bermudez,KO/TKO,blue
704,33.0,187.0,77.0,Brandon Thatch,30.0,180.0,77.0,Gunnar Nelson,SUB,red
705,35.0,170.0,77.0,John Howard,31.0,185.0,77.0,Cathal Pendred,DEC,blue
706,31.0,175.0,77.0,Alex Garcia,39.0,185.0,77.0,Mike Swick,DEC,blue
707,37.0,172.0,61.0,Henry Briones,27.0,172.0,61.0,Cody Garbrandt,DEC,red
708,34.0,187.0,77.0,Tim Means,37.0,182.0,77.0,Matt Brown,SUB,red
709,27.0,170.0,61.0,Thomas Almeida,40.0,167.0,61.0,Brad Pickett,KO/TKO,blue
710,28.0,177.0,70.0,Cody Pfister,33.0,172.0,70.0,Yosdenis Cedeno,DEC,blue
711,27.0,175.0,56.0,Louis Smolka,39.0,162.0,56.0,Neil Seery,DEC,blue
712,42.0,187.0,93.0,Rogerio Nogueira,36.0,185.0,93.0,Mauricio Rua,DEC,red
713,42.0,190.0,109.0,Minotauro Nogueira,30.0,213.0,120.0,Stefan Struve,DEC,red
714,41.0,193.0,120.0,Soa Palelei,28.0,187.0,84.0,Antonio Silva,KO/TKO,red
715,31.0,190.0,77.0,Neil Magny,40.0,185.0,77.0,Demian Maia,SUB,red
716,37.0,185.0,77.0,Nordine Taleb,27.0,180.0,77.0,Warlley Alves,SUB,red
717,37.0,187.0,93.0,Patrick Cummins,38.0,185.0,93.0,Rafael Feijao,KO/TKO,blue
718,36.0,162.0,52.0,Jessica Aguilar,29.0,162.0,52.0,Claudia Gadelha,DEC,red
719,35.0,170.0,61.0,Leandro Issa,38.0,175.0,61.0,Iuri Alcantara,DEC,red
720,31.0,187.0,93.0,Clint Hester,39.0,185.0,84.0,Vitor Miranda,KO/TKO,red
721,38.0,167.0,61.0,Guido Cannetti,36.0,167.0,61.0,Hugo Viana,DEC,blue
722,36.0,167.0,65.0,Fernando Bruno,27.0,182.0,70.0,Glaico Franca Moreira,SUB,red
723,34.0,165.0,61.0,Dileno Lopes,35.0,170.0,61.0,Reginaldo Vieira,DEC,red
724,35.0,175.0,77.0,Thiago Alves,34.0,187.0,77.0,Carlos Condit,KO/TKO,red
725,28.0,177.0,70.0,Charles Oliveira,34.0,172.0,70.0,Nik Lentz,SUB,blue
726,31.0,180.0,70.0,Norman Parke,40.0,175.0,70.0,Francisco Trinaldo,DEC,red
727,36.0,187.0,93.0,Ryan Jimmo,38.0,185.0,93.0,Francimar Barroso,DEC,red
728,29.0,167.0,52.0,Ericka Almeida,36.0,165.0,52.0,Juliana Lima,DEC,red
729,25.0,182.0,77.0,Darren Till,35.0,177.0,77.0,Wendell Oliveira,KO/TKO,blue
730,33.0,162.0,56.0,Wilson Reis,33.0,165.0,56.0,Jussier Formiga,DEC,red
731,33.0,180.0,77.0,Nicolas Dalby,31.0,180.0,77.0,Elizeu Zaleski dos Santos,DEC,blue
732,27.0,190.0,84.0,Tom Breese,36.0,180.0,77.0,Luiz Dutra,KO/TKO,blue
733,27.0,172.0,65.0,Mirsad Bektic,29.0,182.0,65.0,Lucas Martins,KO/TKO,blue
734,30.0,180.0,65.0,Damon Jackson,34.0,170.0,65.0,Rony Jason,SUB,no contest
735,35.0,180.0,70.0,Alan Patrick,30.0,175.0,70.0,Mairbek Taisumov,KO/TKO,red
736,34.0,175.0,65.0,Noad Lahat,29.0,185.0,65.0,Niklas Backstrom,DEC,blue
737,40.0,170.0,65.0,Tatsuya Kawajiri,39.0,170.0,65.0,Dennis Siver,DEC,blue
738,27.0,172.0,70.0,Lukasz Sajewski,34.0,167.0,70.0,Nick Hein,DEC,red
739,30.0,177.0,84.0,Antonio Dos Santos,30.0,190.0,84.0,Scott Askham,KO/TKO,red
740,30.0,175.0,70.0,Magomed Mustafaev,31.0,175.0,70.0,Piotr Hallmann,KO/TKO,blue
741,24.0,172.0,65.0,Arnold Allen,30.0,175.0,65.0,Alan Omer,SUB,blue
742,31.0,177.0,65.0,Masio Fullen,29.0,177.0,65.0,Makwan Amirkhani,SUB,red
743,35.0,165.0,52.0,Jessica Penne,31.0,167.0,52.0,Joanna Jedrzejczyk,KO/TKO,red
744,35.0,182.0,77.0,Steve Kennedy,31.0,182.0,77.0,Peter Sobotta,SUB,red
745,34.0,180.0,70.0,Tony Ferguson,40.0,177.0,70.0,Josh Thomson,DEC,blue
746,32.0,190.0,118.0,Todd Duffee,39.0,190.0,119.0,Frank Mir,KO/TKO,red
747,28.0,193.0,77.0,Matt Dwyer,36.0,182.0,77.0,Alan Jouban,DEC,red
748,37.0,165.0,61.0,Manvel Gamburyan,36.0,165.0,61.0,Scott Jorgensen,DEC,blue
749,30.0,177.0,77.0,James Moontasri,26.0,175.0,70.0,Kevin Lee,SUB,red
750,27.0,185.0,77.0,Sean Strickland,37.0,185.0,77.0,Igor Araujo,DEC,blue
751,33.0,182.0,77.0,Lyman Good,32.0,185.0,84.0,Andrew Craig,KO/TKO,blue
752,30.0,170.0,61.0,Sarah Moras,27.0,157.0,52.0,Jessica Andrade,DEC,red
753,41.0,167.0,61.0,Marion Reneau,36.0,172.0,65.0,Holly Holm,DEC,red
754,37.0,175.0,65.0,Yaotzin Meza,32.0,172.0,65.0,Sam Sicilia,DEC,red
755,35.0,187.0,84.0,Ildemar Alcantara,37.0,180.0,84.0,Kevin Casey,DEC,red
756,35.0,170.0,61.0,Masanori Kanehara,34.0,167.0,61.0,Rani Yahya,DEC,red
757,31.0,167.0,61.0,Renan Barao,32.0,167.0,61.0,TJ Dillashaw,KO/TKO,red
758,34.0,180.0,70.0,Paul Felder,32.0,180.0,70.0,Edson Barboza,DEC,red
759,32.0,167.0,56.0,Jessica Eye,32.0,167.0,61.0,Miesha Tate,DEC,red
760,40.0,172.0,70.0,Takanori Gomi,34.0,177.0,70.0,Joe Lauzon,KO/TKO,red
761,35.0,182.0,93.0,Tom Lawlor,33.0,190.0,93.0,Gian Villante,KO/TKO,blue
762,32.0,180.0,70.0,Andrew Holbrook,30.0,180.0,70.0,Ramsey Nijem,DEC,blue
763,39.0,175.0,70.0,Danny Castillo,35.0,172.0,70.0,Jim Miller,DEC,red
764,30.0,177.0,77.0,Dominique Steele,34.0,182.0,77.0,Zak Cummings,KO/TKO,red
765,35.0,187.0,77.0,Ben Saunders,34.0,177.0,77.0,Kenny Robertson,DEC,blue
766,34.0,172.0,61.0,Bryan Caraway,34.0,170.0,61.0,Eddie Wineland,DEC,blue
767,32.0,167.0,61.0,Elizabeth Phillips,32.0,180.0,61.0,Jessamyn Duke,DEC,blue
768,41.0,182.0,84.0,Yoel Romero,40.0,185.0,84.0,Lyoto Machida,KO/TKO,blue
769,37.0,180.0,93.0,Steve Bosse,34.0,187.0,93.0,Thiago Santos,KO/TKO,red
770,29.0,172.0,65.0,Levan Makashvili,34.0,172.0,70.0,Hacran Dias,DEC,red
771,35.0,182.0,84.0,Eddie Gordon,,,,Antonio Carlos Junior,SUB,red
772,32.0,180.0,77.0,Lorenz Larkin,32.0,182.0,77.0,Santiago Ponzinibbio,KO/TKO,blue
773,34.0,182.0,77.0,Joe Merritt,30.0,180.0,77.0,Alex Oliveira,DEC,red
774,31.0,177.0,77.0,Lewis Gonzalez,32.0,175.0,70.0,Leandro Silva,DEC,red
775,32.0,180.0,70.0,Tony Sims,27.0,193.0,84.0,Steve Montgomery,KO/TKO,blue
776,29.0,167.0,61.0,Sirwan Kakai,33.0,167.0,56.0,Danny Martinez,DEC,blue
777,35.0,182.0,77.0,Stephen Thompson,33.0,175.0,77.0,Jake Ellenberger,KO/TKO,blue
778,33.0,185.0,84.0,Cezar Ferreira,33.0,180.0,77.0,Jorge Masvidal,KO/TKO,red
779,39.0,172.0,61.0,Jerrod Sanders,32.0,170.0,61.0,Russell Doane,DEC,blue
780,31.0,172.0,56.0,Willie Gates,30.0,167.0,56.0,Darrell Montague,KO/TKO,blue
781,32.0,180.0,65.0,Mike de la Torre,34.0,172.0,65.0,Maximo Blanco,KO/TKO,red
782,28.0,185.0,77.0,Dominic Waters,37.0,182.0,77.0,George Sullivan,DEC,red
783,35.0,177.0,77.0,Hayder Hassan,31.0,182.0,77.0,Kamaru Usman,SUB,red
784,26.0,180.0,77.0,Vicente Luque,27.0,177.0,77.0,Michael Graves,DEC,red
785,30.0,185.0,84.0,Caio Magalhaes,30.0,190.0,84.0,Josh Samman,SUB,red
786,37.0,190.0,84.0,Trevor Smith,37.0,185.0,84.0,Dan Miller,DEC,blue
787,31.0,175.0,65.0,Paul Redmond,35.0,175.0,65.0,Rob Whiteford,KO/TKO,red
788,29.0,182.0,77.0,Pawel Pawlak,27.0,182.0,77.0,Leon Edwards,DEC,red
789,29.0,177.0,70.0,Leonardo Mafra,28.0,177.0,70.0,Stevie Ray,KO/TKO,red
790,37.0,175.0,70.0,Ivan Jorge,30.0,177.0,70.0,Joe Duffy,SUB,red
791,31.0,170.0,52.0,Cortney Casey,32.0,167.0,56.0,Joanne Calderwood,DEC,red
792,37.0,185.0,84.0,Thales Leites,39.0,185.0,84.0,Michael Bisping,DEC,red
793,36.0,177.0,70.0,Evan Dunham,34.0,172.0,70.0,Ross Pearson,DEC,blue
794,39.0,193.0,113.0,Chris de la Rocha,36.0,182.0,112.0,Daniel Omielanczuk,KO/TKO,red
795,31.0,185.0,70.0,Teemu Packalen,31.0,180.0,70.0,Mickael Lebout,DEC,red
796,35.0,167.0,61.0,Vaughan Lee,30.0,177.0,56.0,Paddy Holohan,DEC,red
797,29.0,162.0,61.0,Jimmie Rivera,33.0,162.0,61.0,Marcus Brimage,KO/TKO,blue
798,35.0,190.0,93.0,Ovince Saint Preux,38.0,187.0,93.0,Glover Teixeira,SUB,red
799,30.0,170.0,61.0,Roman Salazar,25.0,172.0,61.0,Marlon Vera,SUB,red
800,31.0,187.0,84.0,Jonathan Wilson,31.0,177.0,84.0,Chris Dempsey,KO/TKO,blue
801,33.0,190.0,120.0,Tim Johnson,32.0,187.0,120.0,Jared Rosholt,DEC,red
802,29.0,177.0,70.0,Beneil Dariush,32.0,177.0,65.0,Michael Johnson,DEC,blue
803,35.0,175.0,70.0,Scott Holtzman,31.0,175.0,70.0,Anthony Christodoulou,SUB,blue
804,30.0,172.0,61.0,Amanda Nunes,38.0,167.0,61.0,Sara McMann,SUB,blue
805,36.0,185.0,84.0,Tom Watson,31.0,187.0,84.0,Chris Camozzi,DEC,red
806,31.0,172.0,56.0,Willie Gates,29.0,165.0,56.0,Dustin Ortiz,KO/TKO,red
807,32.0,187.0,93.0,Sam Alvey,34.0,185.0,84.0,Derek Brunson,KO/TKO,red
808,28.0,165.0,56.0,Geane Herrera,25.0,162.0,56.0,Ray Borg,DEC,red
809,29.0,167.0,61.0,Sirwan Kakai,38.0,167.0,61.0,Frankie Saenz,DEC,red
810,31.0,180.0,84.0,Oluwale Bamgbose,34.0,182.0,84.0,Uriah Hall,KO/TKO,red
811,28.0,177.0,70.0,Charles Oliveira,26.0,180.0,65.0,Max Holloway,KO/TKO,red
812,29.0,180.0,70.0,Frankie Perez,34.0,175.0,70.0,Sam Stout,KO/TKO,blue
813,34.0,182.0,77.0,Erick Silva,31.0,190.0,77.0,Neil Magny,DEC,red
814,38.0,177.0,77.0,Joshua Burkman,38.0,180.0,77.0,Patrick Cote,KO/TKO,red
815,40.0,175.0,70.0,Francisco Trinaldo,32.0,177.0,77.0,Chad Laprise,KO/TKO,blue
816,32.0,180.0,70.0,Tony Sims,29.0,175.0,70.0,Olivier Aubin-Mercier,DEC,red
817,35.0,170.0,56.0,Valerie Letourneau,27.0,170.0,52.0,Maryna Moroz,DEC,blue
818,30.0,172.0,61.0,Felipe Arantes,39.0,170.0,61.0,Yves Jabouin,SUB,blue
819,26.0,190.0,93.0,Nikita Krylov,33.0,185.0,93.0,Marcos Rogerio de Lima,SUB,blue
820,33.0,170.0,61.0,Chris Beal,37.0,170.0,56.0,Chris Kelades,DEC,red
821,34.0,185.0,93.0,Daniel Jolly,31.0,190.0,93.0,Misha Cirkunov,KO/TKO,red
822,42.0,182.0,119.0,Roy Nelson,40.0,190.0,113.0,Josh Barnett,DEC,red
823,34.0,182.0,84.0,Uriah Hall,33.0,187.0,84.0,Gegard Mousasi,KO/TKO,blue
824,30.0,182.0,77.0,Li Jingliang,34.0,180.0,77.0,Keita Nakamura,SUB,red
825,31.0,170.0,65.0,Diego Brandao,36.0,172.0,65.0,Katsunori Kikuno,KO/TKO,blue
826,32.0,180.0,77.0,Roger Zapata,32.0,170.0,77.0,Shinsho Anzai,KO/TKO,red
827,33.0,167.0,56.0,Chico Camus,27.0,165.0,56.0,Kyoji Horiguchi,DEC,red
828,36.0,180.0,61.0,George Roop,34.0,170.0,61.0,Takeya Mizugaki,DEC,red
829,28.0,170.0,70.0,Yusuke Kasuya,34.0,167.0,70.0,Nick Hein,DEC,red
830,27.0,170.0,61.0,Teruto Ishihara,37.0,170.0,70.0,Mizuto Hirota,,draw
831,34.0,160.0,61.0,John Dodson,32.0,160.0,56.0,Demetrious Johnson,DEC,red
832,38.0,185.0,93.0,Jimi Manuwa,34.0,187.0,93.0,Anthony Johnson,KO/TKO,red
833,39.0,160.0,52.0,Alex Chambers,24.0,162.0,56.0,Paige VanZant,SUB,red
834,28.0,160.0,61.0,John Lineker,37.0,172.0,61.0,Francisco Rivera,SUB,blue
835,32.0,172.0,70.0,Nazareno Malegarie,29.0,172.0,70.0,Joaquim Silva,DEC,red
836,29.0,190.0,93.0,Corey Anderson,35.0,187.0,93.0,Jan Blachowicz,DEC,blue
837,39.0,190.0,119.0,Frank Mir,39.0,190.0,109.0,Andrei Arlovski,DEC,red
838,31.0,175.0,65.0,Tiago Trator,25.0,180.0,65.0,Clay Collard,DEC,blue
839,35.0,182.0,84.0,Ron Stallings,36.0,182.0,84.0,Joe Riggs,KO/TKO,red
840,34.0,180.0,70.0,Paul Felder,34.0,172.0,70.0,Ross Pearson,DEC,red
841,30.0,170.0,61.0,Raquel Pennington,27.0,157.0,52.0,Jessica Andrade,SUB,blue
842,39.0,182.0,93.0,Rashad Evans,35.0,187.0,93.0,Ryan Bader,DEC,red
843,31.0,195.0,93.0,Alexander Gustafsson,39.0,180.0,106.0,Daniel Cormier,DEC,red
844,31.0,190.0,109.0,Ruslan Magomedov,33.0,182.0,118.0,Shawn Jordan,DEC,blue
845,28.0,182.0,70.0,Dan Hooker,26.0,180.0,65.0,Yair Rodriguez,DEC,red
846,29.0,167.0,61.0,Julianna Pena,32.0,167.0,56.0,Jessica Eye,DEC,blue
847,26.0,180.0,77.0,Albert Tumenov,36.0,182.0,77.0,Alan Jouban,KO/TKO,blue
848,28.0,190.0,109.0,Viktor Pesta,33.0,190.0,118.0,Derrick Lewis,KO/TKO,red
849,33.0,162.0,56.0,Ali Bagautinov,34.0,162.0,56.0,Joseph Benavidez,DEC,red
850,33.0,160.0,52.0,Angela Hill,26.0,165.0,52.0,Rose Namajunas,SUB,red
851,26.0,177.0,70.0,Islam Makhachev,35.0,177.0,70.0,Adriano Martins,KO/TKO,red
852,22.0,182.0,77.0,Sage Northcutt,36.0,175.0,70.0,Francisco Trevino,KO/TKO,blue
853,29.0,185.0,84.0,Krzysztof Jotko,30.0,190.0,84.0,Scott Askham,DEC,blue
854,27.0,190.0,84.0,Tom Breese,31.0,185.0,77.0,Cathal Pendred,KO/TKO,blue
855,36.0,185.0,84.0,Garreth McLellan,33.0,182.0,84.0,Bubba Bush,KO/TKO,blue
856,40.0,180.0,70.0,Reza Madadi,31.0,180.0,70.0,Norman Parke,DEC,red
857,25.0,182.0,77.0,Darren Till,33.0,180.0,77.0,Nicolas Dalby,,draw
858,27.0,175.0,56.0,Louis Smolka,30.0,177.0,56.0,Paddy Holohan,SUB,blue
859,31.0,180.0,70.0,Mickael Lebout,28.0,177.0,70.0,Stevie Ray,DEC,red
860,29.0,167.0,52.0,Ericka Almeida,30.0,157.0,52.0,Aisling Daly,DEC,red
861,31.0,167.0,56.0,Jon Delos Reyes,39.0,162.0,56.0,Neil Seery,SUB,red
862,35.0,175.0,65.0,Rob Whiteford,34.0,177.0,65.0,Darren Elkins,DEC,red
863,26.0,175.0,84.0,Kelvin Gastelum,31.0,190.0,77.0,Neil Magny,DEC,red
864,36.0,177.0,70.0,Diego Sanchez,36.0,172.0,65.0,Ricardo Lamas,DEC,red
865,31.0,162.0,56.0,Henry Cejudo,33.0,165.0,56.0,Jussier Formiga,DEC,blue
866,26.0,167.0,61.0,Taylor Lapilus,28.0,172.0,61.0,Erik Perez,DEC,red
867,32.0,182.0,84.0,Bartosz Fabinski,31.0,180.0,77.0,Hector Urbina,DEC,blue
868,37.0,167.0,77.0,Michel Prazeres,33.0,182.0,70.0,Valmir Lazaro,DEC,blue
869,28.0,180.0,65.0,Andre Fili,30.0,172.0,65.0,Gabriel Benitez,KO/TKO,blue
870,36.0,165.0,61.0,Scott Jorgensen,29.0,167.0,61.0,Alejandro Perez,KO/TKO,red
871,32.0,177.0,77.0,Enrique Marin,32.0,182.0,77.0,Erick Montano,DEC,red
872,28.0,182.0,70.0,Alvaro Herrera,26.0,175.0,76.0,Vernon Ramos,KO/TKO,blue
873,29.0,170.0,65.0,Enrique Barzola,28.0,177.0,65.0,Horacio Gutierrez,DEC,blue
874,33.0,180.0,70.0,Polo Reyes,27.0,180.0,70.0,Cesar Arzamendia,KO/TKO,blue
875,48.0,180.0,84.0,Dan Henderson,41.0,182.0,84.0,Vitor Belfort,KO/TKO,red
876,37.0,187.0,93.0,Patrick Cummins,38.0,187.0,93.0,Glover Teixeira,KO/TKO,red
877,29.0,190.0,93.0,Corey Anderson,38.0,185.0,93.0,Fabio Maldonado,DEC,blue
878,29.0,177.0,70.0,Johnny Case,35.0,180.0,70.0,Yan Cabral,DEC,blue
879,33.0,175.0,70.0,Rashid Magomedov,32.0,177.0,70.0,Gilbert Burns,DEC,blue
880,35.0,172.0,70.0,Abel Trujillo,35.0,177.0,70.0,Gleison Tibau,SUB,blue
881,32.0,172.0,61.0,Anthony Birchak,27.0,170.0,61.0,Thomas Almeida,KO/TKO,red
882,29.0,162.0,61.0,Jimmie Rivera,32.0,167.0,61.0,Pedro Munhoz,DEC,blue
883,31.0,175.0,70.0,Piotr Hallmann,30.0,180.0,77.0,Alex Oliveira,KO/TKO,red
884,33.0,170.0,65.0,Thiago Tavares,36.0,170.0,65.0,Clay Guida,SUB,blue
885,25.0,162.0,56.0,Matheus Nicolau,,167.0,61.0,Bruno Korea,SUB,blue
886,33.0,180.0,65.0,Chas Skelly,33.0,182.0,65.0,Kevin Souza,SUB,blue
887,35.0,185.0,77.0,Donald Cerrone,33.0,172.0,77.0,Rafael dos Anjos,KO/TKO,red
888,39.0,182.0,84.0,Nate Marquardt,35.0,187.0,84.0,CB Dollaway,KO/TKO,blue
